subjectCode,courseNumber,courseTitle,creditNarrative,prereqNarrative
BIOL,121L,Environmental Phage Biology Laboratory,5.0,
BIOL,122K,Phage Biology Lab I,5.0,"Prerequisite(s): CHEM1B, BIOL20A, BIOL20L, and BIOL86. Enrollment is by permission of the instructor. Enrollment is restricted to biology; biochemistry and molecular biology; and molecular, cell, and developmental biology majors. Students with credit for BIOL121L may not enroll in this course."
BIOL,122L,Phage Biology Lab II,5.0,
BIOL,124,Optical Imaging for Biological Research,3.0,"[""OR"", ""PHYS 5B"", [""AND"", ""PHYS 6B"", ""BIOL 110""]]"
BIOL,125,Introduction to Neuroscience,5.0,"[""OR"", [""AND"", [""AND"", ""BIOL 20A"", ""BIOE 20B""], ""BIOL 100""], [""AND"", ""BIOC 100A"", ""BIOC 100B""]]"
BIOL,126,Neural Plasticity and Cognitive Neuroscience,5.0,Prerequisite(s): BIOL 125. Enrollment is restricted to neuroscience majors and proposed majors.
BIOL,127,Mechanisms of Neurodegenerative Disease,5.0,"""BIOL 110"""
BIOL,128,Developmental Neurobiology,5.0,Prerequisite(s): BIOL 105 and BIOL 125. Enrollment is restricted to Neuroscience B.S. majors; other majors may enroll with the permission of the instructor.
BIOL,129A,Advanced Topics in System Neuroscience,5.0,"Prerequisite(s): BIOL 126, BIOL 129L; students cannot enroll in BIOL 129A after receiving credit with a 'C' or better in BIOL 129B. Enrollment is restricted to seniors and graduate students."
BIOL,129B,Advanced Topics in Developmental Neurobiology,5.0,"Prerequisite(s): BIOL 105, BIOL 125 and BIOL 128; students cannot enroll in BIOL 129B after receiving credit with a 'C' or better in BIOL 129A. Enrollment is restricted to seniors."
BIOL,129C,Advanced Topics in Nervous System Disorders,5.0,Prerequisite(s): BIOL 125; students cannot enroll in BIOL 129C after receiving credit with a 'C' or better in BIOL 129A or BIOL 129B. Enrollment is restricted to seniors majoring in neuroscience.
BIOL,129L,Neurobiology Lab,5.0,"Prerequisite(s): either BIOL 100 and BIOL 101; or BIOC 100A and BIOC 100B; and BIOL 125; and STAT 5 or STAT 7 and STAT 7L. Satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to declared Neuroscience B.S. majors. Other majors may enroll by permission of the instructor. Students cannot enroll in BIOL 129L after receiving credit with a 'C' or better in BIOL 100L, BIOL 103L, BIOL 105L, BIOL 106L, BIOL 108L, BIOL 109L, BIOL 115L, BIOL 120L, BIOL 121L, BIOL 186L and METX 119L."
BIOL,130,Human Physiology,5.0,"""BIOL 110"""
BIOL,130L,Human Physiology Laboratory,2.0,Prerequisite(s): BIOL 110; BIOL 20L or BIOL 102J; and previous or concurrent enrollment in BIOL 130 is required.Satisfaction of Entry Level Writing and Composition requirements. Enrollment is restricted to biological sciences and affiliated majors; biology minors; other majors by permission.
BIOL,140,The RNA World,5.0,"[""OR"", ""BIOL 105"", [""AND"", ""BME 105"", ""BIOL 101""]]"
BIOL,186F,Undergraduate Research in MCD Biology,2.0,
BIOL,186L,Undergraduate Research in MCD Biology,5.0,
BIOL,186R,Undergraduate Research in MCD Biology,5.0,
BIOL,188,A Life in Medicine,3.0,"Enrollment is restricted to global and community health B.A., global and community health B.S., and human biology B.S. majors; other students may be admitted with the permission of instructor."
BIOL,189,Health Sciences Internship,3.0,
BIOL,189W,Disciplinary Communication: Human Biology,3.0,
BIOL,195,Senior Thesis Research,5.0,
BIOL,198,Independent Field Study,5.0,
BIOL,198F,Independent Field Study,2.0,
BIOL,199,Tutorial,5.0,
BIOL,199F,Tutorial,2.0,
BME,5,Introduction to Biotechnology,5.0,
BME,18,Scientific Principles of Life,5.0,
BME,51A,Applied Electronics for Bioengineers Part 1,5.0,Prerequisite(s): MATH 19A; or MATH 11A by consent of instructor. High school physics recommended. Enrollment is restricted to bioengineering and biomolecular engineering &amp; bioinformatics majors and proposed majors; other majors by consent.
BME,51B,Applied Electronics for Bioengineers Part 2,5.0,"""BME 51A"""
BME,55,Introduction to Lab Groups,2.0,"Enrollment is restricted to sophomore and junior proposed biomolecular engineering and bioinformatics majors, or by permission of the instructor."
BME,80G,"Bioethics in the 21st Century: Science, Business, and Society",5.0,
BME,80H,The Human Genome,5.0,
BME,94,Group Tutorial,5.0,
BME,94F,Group Tutorial,2.0,
BME,99,Tutorial,5.0,
BME,99F,Tutorial,2.0,
BME,105,Genetics in the Genomics Era,5.0,"Prerequisite(s): BIOL 20A. Enrollment is restricted to bioengineering, biomolecular engineering and bioinformatics, biotechnology, and bioinformatics majors and proposed majors and bioinformatics minors."
BME,110,Computational Biology Tools,5.0,"Prerequisite(s): BME 105, or BIOL 100, or BIOL 105, or BIOC 100A, or CHEM 103, or  bioinformatics majors, or biomolecular engineering and bioinformatics majors."
BME,118,Mathematics of the Mind,5.0,"Prerequisites: either MATH 19A and MATH 19B, or MATH 20A and MATH 20B; and MATH 21; and CSE 20; or by permission of the instructor."
BME,122H,Extreme Environmental Virology,5.0,"Enrollment is restricted to College Scholar Students, and or by permission of the instructor."
BME,123T,Senior Thesis Writing,5.0,Prerequisite(s): BME 185 or CSE 185E.  Concurrent enrollment in BME 193F or BME 195F or BME 198F or CSE 193F or CSE 195F or CSE 198F or ECE 193F or ECE 195F or ECE 198F is required. Enrollment is restricted to senior biomolecular engineering and bioinformatics and bioengineering majors.
BME,128,Protein Engineering,5.0,"Prerequisite(s): BIOL 20A; and BIOL 100 or BIOC 100A, or by permission of instructor."
BME,128L,Protein Engineering Laboratory,2.0,"Prerequisite(s): BME 128; and BIOL 101L, or BIOL 20L, or BME 21L. Enrollment is restricted to junior and senior bioengineering, biomolecular engineering, and bioinformatics majors; other majors by permission of instructor."
BME,129A,Project Design and Implementation in Biomolecular Engineering I,5.0,Prerequisite(s): BIOL 20A; BME 23L; BIOL 100 or BIOC 100A; and previous or concurrent enrollment in BME 185 or CSE 185E. Enrollment is restricted to junior and senior bioengineering and biomolecular engineering and bioinformatics majors or by permission of the instructor.
BME,129B,Project Design and Implementation in Biomolecular Engineering II,5.0,Prerequisite(s): BME 129A or BME 150. Enrollment is restricted to senior bioengineering or biomolecular engineering and bioinformatics majors.
BME,129C,Project Design and Implementation in Biomolecular Engineering III,5.0,Prerequisite(s): BME 129A and BME 129B. Enrollment is restricted to senior bioengineering or biomolecular engineering and bioinformatics majors.
BME,130,Genomes,5.0,Prerequisite(s): BIOL 105 or BME 105; or permission of the instructor.
BME,132,Evolutionary Genomics,5.0,Prerequisite(s): BME 105 or BIOL 105 or METX 140. Enrollment is restricted to juniors and seniors.
BME,140,Bioinstrumentation,5.0,"[""OR"", [""OR"", [""OR"", ""BME 5"", [""OR"", [""AND"", ""BME 51A"", ""BME 51B""], [""AND"", ""ECE 101"", ""ECE 101L""]]], ""BIOL 100""], ""BIOC 100A""]"
BME,160,Research Programming in the Life Sciences,6.0,"[""OR"", ""BIOL 20A"", ""BIOL 21A""]"
BME,163,Applied Visualization and Analysis of Scientific Data,3.0,Prerequisite(s): BME 160 or BME 205. Prerequisites can be waived in cases where students have the required programming skills. Enrollment is restricted to juniors and seniors.
BME,175,Entrepreneurship in Biotechnology,5.0,
BME,177,Engineering Stem Cells,5.0,Prerequisite(s): BIOL 20A or by consent of instructor. Basic knowledge of molecular and cellular biology is required.
BME,177L,Engineering Stem Cell Laboratory,2.0,Prerequisites: BME 21L and BME 22L and BME 23L; and previous or concurrent enrollment in BME 177. Enrollment is restricted to biomolecular engineering and bioinformatics majors or by permission.
BME,178,Stem Cell Biology,5.0,Prerequisite(s): BIOL 110; BIOL 115 recommended.
BME,180,Professional Practice in Bioengineering,2.0,"Prerequisite(s): previous or concurrent enrollment in BME 185 or CSE 185E. Enrollment is restricted to junior and senior bioengineering, biomolecular engineering and bioinformatics, and bioinformatics majors or by permission."
BME,185,Technical Writing for Biomolecular Engineers,5.0,"Prerequisite(s): BIOL 20A; satisfaction of Entry Level Writing and Composition requirements; Enrollment restricted to junior and senior bioengineering, biomolecular engineering and bioinformatics, and biotechnology majors."
BME,188A,Synthetic Biology--Mentored Research A,2.0, Prerequisite(s): BME 180. Enrollment is restricted to juniors and seniors. Enrollment is by instructor permission.
BME,188B,Synthetic Biology--Mentored Research B,5.0,
BME,188C,Synthetic Biology Mentored Research C,5.0,
BME,193,Field Study,5.0,
BME,193F,Field Study,2.0,
BME,194,Group Tutorial,5.0,
BME,194F,Group Tutorial,2.0,
BME,195,Senior Thesis Research,5.0,
BME,195F,Senior Thesis or Research,2.0,
BME,198,Individual Study or Research,5.0,
BME,198F,Individual Study or Research,2.0,
BME,199,Tutorial,5.0,
CHEM,1A,General Chemistry,5.0,"Prerequisite(s): Previous or concurrent enrollment in MATH 3, AM 3, or equivalent, or a mathematics placement score of 300 or higher. Enrollment is restricted to sophomores, juniors, and seniors."
CHEM,1B,General Chemistry,5.0,"Enrollment is restricted to sophomores, juniors, and seniors."
CHEM,1C,General Chemistry,5.0,"Prerequisite(s): CHEM 1A. Concurrent enrollment in course 1N is recommended. Enrollment is restricted to sophomores, juniors, and seniors."
CHEM,1M,General Chemistry Laboratory,2.0,"Prerequisite(s): Previous or concurrent enrollment in CHEM 1B or CHEM 4A is required. Enrollment is restricted to sophomores, juniors, and seniors."
CHEM,1N,General Chemistry Laboratory,2.0,"Prerequisite(s): Previous or concurrent enrollment in CHEM 1C or CHEM 4B is required. Enrollment is restricted to sophomores, juniors, and seniors."
CHEM,3A,General Chemistry,5.0,"Prerequisite(s): previous or concurrent enrollment in MATH 2, or a mathematics placement (MP) score of 200 or higher."
CHEM,3B,General Chemistry,3.0,"Prerequisite(s): CHEM 3A with a grade of C or better, and previous or concurrent enrollment in CHEM 3BL."
CHEM,3BL,General Chemistry Lab,2.0,
CHEM,3C,General Chemistry,3.0,
CHEM,3CL,General Chemistry Lab,2.0,Prerequisite(s): completion of CHEM 3A and CHEM 3B; prior or concurrent enrollment in CHEM 3C.
CHEM,4A,Advanced General Chemistry: Molecular Structure and Reactivity,5.0,Prerequisite(s): Previous or concurrent enrollment in MATH 3 (or equivalent) or a mathematics placement score of 300 or higher. Concurrent enrollment in CHEM 1M is required. Strong high-school-level chemistry is strongly recommended.
CHEM,4AL,Advanced General Chemistry Lab,2.0,Prerequisite(s): prior or current enrollment in CHEM 4A.
CHEM,4B,Advanced General Chemistry: Molecular Structure and Reactivity,5.0,Prerequisite: CHEM 4A. Concurrent enrollment in CHEM 4AL is required.
CHEM,4BL,Advanced General Chemistry Lab,2.0,Prerequisite(s): Prior or concurrent enrollment in CHEM 4B.
CHEM,8A,Organic Chemistry,5.0,"[""OR"", [""OR"", [""AND"", ""CHEM 1B"", ""CHEM 1C""], ""CHEM 3C""], ""CHEM 4B""]"
CHEM,8B,Organic Chemistry,5.0,"""CHEM 8A"""
CHEM,8L,Organic Chemistry Laboratory,2.0,"Prerequisite(s): CHEM 1C and CHEM 1N, or CHEM 3C and CHEM 3CL, or CHEM 4B and CHEM 4BL. Previous or concurrent enrollment in CHEM 8A is required."
CHEM,8M,Organic Chemistry Laboratory,2.0,Prerequisite(s): CHEM 8A and CHEM 8L and previous or concurrent enrollment in CHEM 8B is required.
CHEM,8N,Honors Organic Chemistry Lab,2.0,Prerequisite(s): CHEM 8A and CHEM 8L concurrent enrollment in CHEM 8B is required.
CHEM,80H,Introduction to Wine Science and Chemistry,5.0,
CHEM,99,Tutorial,5.0,
CHEM,99F,Tutorial,2.0,
CHEM,103,Biochemistry,5.0,"""CHEM 8B"""
CHEM,109,Intermediate Organic Chemistry and Applications to Biology,3.0,Prerequisite(s): CHEM 8B or equivalent.
CHEM,110,Intermediate Organic Chemistry with Emphasis on Synthesis and Analytical Methods,5.0,"Prerequisite(s): CHEM 8B. Enrollment is restricted to chemistry majors, minors and proposed majors."
CHEM,110L,Intermediate Organic Chemistry Laboratory,2.0,Prerequisite(s): CHEM 8M and previous or concurrent enrollment in CHEM 110.
CHEM,110N,Honors Organic Chemistry Lab,2.0,"Prerequisite(s): CHEM 8A, CHEM 8B and CHEM 8L and either CHEM 8M or CHEM 8N and CHEM 160; previous or concurrent enrollment in CHEM 109 or CHEM 110 is required"
CHEM,122,Principles of Instrumental Analysis,5.0,Prerequisite(s): CHEM 110 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior chemistry (B.S.) majors.
CHEM,124,Bioanalytical Chemistry,4.0,"""CHEM 110"""
CHEM,139,Chemical Problem Solving: Learning to Think Like a Scientist,5.0,"[""OR"", [""OR"", [""AND"", ""CHEM 1C"", ""CHEM 3C""], [""AND"", ""CHEM 4B"", ""MATH 11A""]], ""MATH 19A""]"
CHEM,143,Organic Chemical Structure and Reactions,5.0,"""CHEM 110"""
CHEM,144,Catalysis In Organic Synthesis Using Metals and Metalloids Based Reagents,5.0,"""CHEM 110"""
CHEM,146A,Advanced Laboratory in Organic Chemistry,3.0,Prerequisite(s): CHEM 110 and CHEM 110L; satisfaction of Entry Level Writing and Composition requirements. Enrollment is restricted to chemistry majors. Minors by permission of instructor.
CHEM,146B,Advanced Laboratory in Inorganic Chemistry,3.0,Prerequisite(s): CHEM 151A and CHEM 151L; CHEM 163A; satisfaction of Entry Level Writing and Composition requirements. Enrollment restricted to chemistry majors. Minors by permission of instructor.
CHEM,146C,Advanced Laboratory in Physical Chemistry,5.0,Prerequisite(s): CHEM 163B and CHEM 164; satisfaction of Entry Level Writing and Composition requirements. Enrollment restricted to chemistry majors. Minors by permission of instructor.
CHEM,151A,Chemistry of Metals,5.0,Prerequisite(s): CHEM 8B and CHEM 8M and CHEM 163A. Concurrent enrollment in CHEM 151L is required.
CHEM,151B,Chemistry of the Main Group Elements,5.0,Prerequisite(s): CHEM 8B and CHEM 8M and CHEM 163A. Recommended for chemistry majors.
CHEM,151L,Inorganic Chemistry Laboratory,2.0,Prerequisite(s):CHEM 8B and CHEM 8M and CHEM 163A. Concurrent enrollment in CHEM 151A is required.
CHEM,156C,Materials Chemistry,5.0,Prerequisite(s): Previous or concurrent enrollment in CHEM 151A. Enrollment is restricted to seniors.
CHEM,160J,Biochemistry Research Laboratory,5.0,"Prerequisite(s): CHEM 8L and completion of or enrollment in BIOC 100A, BIOL 100, or CHEM 103."
CHEM,160K,Biochemistry Research Laboratory,5.0,
CHEM,160L,Biochemistry Research Laboratory,5.0,"Prerequisite(s): CHEM 160K, satisfaction the Entry Level Writing and Composition requirements."
CHEM,161J,Chemical Biology Research Laboratory,5.0,"Prerequisites: successful completion of CHEM 8B and CHEM 8M; and previous or concurrent enrollment in BIOL 100, BIOC 100A, or CHEM 103. Enrollment is by permission of the instructor."
CHEM,161K,Chemical Biology Research Laboratory,5.0,
CHEM,161L,Chemical Biology Research Laboratory,5.0,"Prerequisite(s): CHEM 161K, and Entry Level and Composition requirements. Enrollment is by permission of the instructor."
CHEM,163A,Quantum Mechanics and Basic Spectroscopy,5.0,"Prerequisite(s): CHEM 1B and CHEM 1C; PHYS 5A, PHYS 5B, and PHYS 5C or PHYS 6A, PHYS 6B, and PHYS 6C; and MATH 22 or MATH 23B. PHYS 6C can be taken concurrently."
CHEM,163B,Chemical Thermodynamics,5.0,"[""OR"", [""OR"", [""AND"", ""CHEM 1B"", [""AND"", ""CHEM 1C"", ""PHYS 6A""]], [""AND"", ""PHYS 5A"", ""MATH 22""]], ""MATH 23B""]"
CHEM,163C,Statistical Thermodynamics and Kinetics,5.0,"[""OR"", [""AND"", ""CHEM 163A"", ""CHEM 163B""], [""AND"", ""BIOC 163A"", ""BIOC 163B""]]"
CHEM,164,Physical Chemistry Laboratory,5.0,"Prerequisite(s): CHEM 1B and CHEM 1C; and PHYS 5A and PHYS 5B and PHYS 5C, or PHYS 6A and PHYS 6B and PHYS 6C; and MATH 22 or MATH 23B. CHEM 163A is recommended."
CHEM,169,Chemistry and Biology of Drug Design and Discovery,5.0,"[""OR"", ""CHEM 103"", ""BIOC 100A""]"
CHEM,171,Chemical Biology,5.0,"Prerequisites: CHEM 8B, and CHEM 103 or BIOC 100A. Enrollment is restricted to senior chemistry, biochemistry or related life science majors and minors. BIOL 101 and CHEM 110 recommended but not required."
CHEM,192,Dir Stu Teach,5.0,
CHEM,194,Senior Essay,5.0,
CHEM,195A,Thesis Research,5.0,
CHEM,195B,Thesis Research,5.0,
CHEM,195C,Thesis Research,5.0,
CHEM,199,Independent Research,5.0,
CHEM,199F,Independent Research,2.0,
CHIN,1,First-Year Chinese,5.0,
CHIN,2,First-Year Chinese,5.0,Prerequisite(s): CHIN 1 or by consent of instructor.
CHIN,3,First-Year Chinese,5.0,Prerequisite(s): CHIN 2 or by consent of instructor.
CHIN,4,Second-Year Chinese,5.0,Prerequisite(s): CHIN 3 or by consent of instructor.
CHIN,5,Second-Year Chinese,5.0,Prerequisite(s): CHIN 4 or CHIN 4H or by consent of instructor.
CHIN,6,Second-Year Chinese,5.0,Prerequisite(s): CHIN 5 or CHIN 5H or by consent of instructor.
CHIN,94,Group Tutorial,5.0,
CHIN,99,Tutorial,5.0,
CHIN,99F,Tutorial,2.0,
CHIN,103,Advanced Chinese: Language and Society,5.0,Prerequisite(s): CHIN 6 or by consent of instructor.
CHIN,104,Advanced Chinese: Readings in Literature,5.0,Prerequisite(s): CHIN 103 or CHIN 105 or CHIN 107 or CHIN 108; or by consent of instructor.
CHIN,105,Advanced Chinese: Readings in History,5.0,Prerequisite(s): CHIN 103 or CHIN 104 or CHIN 107 or CHIN 108; or by consent of instructor.
CHIN,107,Introduction to Classical Chinese Prose,5.0,Prerequisite(s): CHIN 103 or CHIN 104 or CHIN 105 or CHIN 108; or by consent of instructor.
CHIN,108,Introduction to Classical Chinese Poetry,5.0,Prerequisite(s): CHIN 103 or CHIN 104 or CHIN 105 or CHIN 107; or by consent of instructor.
CHIN,194,Group Tutorial,5.0,
CHIN,199,Tutorial,5.0,
CHIN,199F,Tutorial,2.0,
CLNI,1,Academic Literacy and Ethos: International and Global Perspectives,5.0,Enrollment is restricted to first-year college members.
CLNI,1A,Introduction to University Life and Learning,1.0,Enrollment is restricted to entering first-year College Nine students.
CLNI,60,Water Justice: Global Insights for a Critical Resource,5.0,Enrollment is restricted to College Scholars students.
CLNI,70,Colleges Nine and Ten Community Garden,2.0,Enrollment is restricted to College Nine and College Ten students.
CLNI,85,Global Action,2.0,Enrollment is restricted to College Nine members during priority enrollment only.
CLNI,86,College Leadership Development,2.0,
CLNI,90,Intercultural Understanding,2.0,
CLNI,91,Global Issues Colloquium,1.0,Enrollment is restricted to College Nine members.
CLNI,105,Researching Food Sovereignty,5.0,Enrollment is restricted to  junior and senior College Nine and College Ten members during priority enrollment only.
CLNI,106,Israel and Palestine: Pathways to a Deeper Understanding,2.0,
CLNI,112A,Model United Nations Part A: A Group Seminar,2.0,
CLNI,112B,Model United Nations Part B: International Crises,2.0,"""CLNI 112A"""
CLNI,115,Community Investing for Social Good: A Micro-finance Lab,2.0,
CLNI,120,Practical Activism Conference Planning and Development,2.0,
CLNI,191,Teaching Global Action,5.0,
CLNI,199,Tutorial,5.0,
CLNI,199F,Tutorial,2.0,
CLST,99,Tutorial,5.0,
CLST,197F,Senior Comprehensive Examination Preparation,2.0,
CLST,199,Tutorial,5.0,
CLST,199F,Tutorial,2.0,
CMMU,10,Introduction to Community Activism,5.0,
CMMU,20,Media and Social Movements,5.0,
CMMU,30,Numbers and Social Justice,5.0,
CMMU,93,Field Study,5.0,
CMMU,93F,Field Study,2.0,
CMMU,93G,Field Study,3.0,
CMMU,99,Tutorial,5.0,
CMMU,99F,Tutorial,2.0,
CMMU,101,"Communities, Social Movements, and the Third Sector",5.0,"Enrollment is restricted to sophomore, junior, and senior community studies majors and proposed majors."
CMMU,102,Preparation for Field Studies,5.0,
CMMU,103,Field Study Practicum,2.0,
CMMU,105A,Field Study,5.0,
CMMU,105B,Field Study,5.0,
CMMU,105C,Field Study,5.0,
CMMU,107,Analysis of Field Materials,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements, CMMU 198. Enrollment is restricted to community studies majors."
CMMU,130,Community Organizing Principles and Practice,5.0,
CMMU,132,American Cities and Social Change,5.0,
CMMU,133,"Making California: Landscapes, People, Politics, Economy",5.0,
CMMU,134,No Place Like Home,5.0,
CMMU,137,Communities and Climate Change,5.0,
CMMU,141,Economic Justice in Theory and Practice,5.0,Enrollment is restricted to community studies majors and proposed majors during First Pass enrollment.
CMMU,143,Wal-Mart Nation,5.0,
CMMU,145,Global Capitalism: a History of the Present,5.0,
CMMU,148,The Problem with Solutions,5.0,
CMMU,149,Political Economy of Food and Agriculture,5.0,
CMMU,151,"Sex, Race, and Globalization",5.0,
CMMU,156,Politics of Food and Health,5.0,
CMMU,157,Ageism and Activism,5.0,
CMMU,160,Public Health,5.0,
CMMU,161,Gender Health and Justice,5.0,
CMMU,162,Community Gardens and Social Change,5.0,
CMMU,163,Health Care Inequalities,5.0,
CMMU,164,Health Justice in Conflict,5.0,
CMMU,165,Community Analysis for Global Health,5.0,
CMMU,167,Special Topics in Health Equity,5.0,
CMMU,186,Food and Agriculture Social Movements,5.0,
CMMU,189,Mentoring in Community Studies,5.0,
CMMU,191,Student Volunteer Internship,3.0,
CMMU,192,Directed Student Teaching,5.0,
CMMU,193,Field Study,5.0,
CMMU,193F,Field Study,2.0,
CMMU,193G,Field Study,3.0,
CMMU,195A,Senior Thesis,5.0,
CMMU,195B,Senior Thesis,5.0,
CMMU,195C,Senior Thesis,5.0,
CMMU,199,Tutorial,5.0,
CMMU,199F,Tutorial,2.0,
CMPM,15,Research Explorations,1.0,
CMPM,17,Design Build Experience,3.0,Enrollment is restricted to sophomores and frosh. Seniors and juniors may enroll by permission of the instructor.
CMPM,25,Introduction to 3D Modeling,5.0,
CMPM,26,Introduction to 3D Animation,5.0,"""CMPM 25"""
CMPM,27,Fundamentals of Substance Designer and Painter,5.0,Prerequisite(s): CMPM 25 or by permission of the instructor.
CMPM,35,Data Structures for Interactive Media,5.0,"""CSE 30"""
CMPM,80A,Accessible Games,5.0,
CMPM,80H,Human-Centered AI,5.0,
CMPM,80I,Introduction to Human Computer Interaction,5.0,
CMPM,80J,Games as Technical Culture,5.0,Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements.
CMPM,80K,Foundations of Video Game Design,5.0,
CMPM,80L,Entrepreneurial Organization and Leadership,5.0,
CMPM,94,Group Tutorial,5.0,
CMPM,94F,Group Tutorial,2.0,
CMPM,110,Writing for Game Technologies,5.0,"Prerequisite(s): CMPM 120, or by permission of the instructor."
CMPM,115,Lead by Design: Experiential Learning Collaborative,5.0,Enrollment is restricted to juniors and seniors.
CMPM,118,Collaborative Research Experience in Engineering,5.0,
CMPM,120,Game Development Experience,5.0,Prerequisite(s): CMPM 80K; and FILM 80V; and CSE 15 and CSE 15L or CSE 30 or CMPM 35; and ARTG 80G or ARTG 80H or ARTG 80I; and concurrent enrollment in ARTG 120. Enrollment is restricted to juniors and seniors or by permission of the instructor.
CMPM,121,Game Development Patterns,5.0,"""CMPM 120"""
CMPM,122,Business of Games,5.0,
CMPM,123,Advanced Programming,5.0,Prerequisites: CSE 101 or CMPM 35.
CMPM,125,Game Technologies,5.0,"""CMPM 120"""
CMPM,130,User Interface and User Experience Design,5.0,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to computer science: computer game design majors.
CMPM,131,User Experience for Interactive Media,5.0,"Enrollment is restricted to juniors, seniors, and graduate students."
CMPM,132,Interaction Design Studio,5.0,"Enrollment is restricted to juniors, seniors, and graduate students."
CMPM,146,Game AI,5.0,"Prerequisite(s): CSE 101 or equivalent; familiarity with python a plus, though not required. Enrollment is restricted to sophomores, juniors, seniors, and graduate students."
CMPM,147,Generative Design,5.0,"""CMPM 120"""
CMPM,148,Interactive Storytelling,5.0,Prerequisite(s): CSE 101 or CMPM 35. Enrollment is restricted to juniors and seniors.
CMPM,150,Creating Digital Audio,5.0,"Enrollment is restricted to sophomores, juniors, and seniors."
CMPM,151,Algorithmic Music for Games,5.0,"[""OR"", [""AND"", ""CSE 14"", ""CSE 14L""], ""CSE 11""]"
CMPM,152,Musical Data,5.0,"Prerequisites: CMPM 35 or CMPM 120 or CMPM 150 or CMPM 151 or by permission of instructor. Enrollment is restricted to juniors, seniors, and graduate students."
CMPM,163,Game Graphics and Real-Time Rendering,5.0,Prerequisite(s): CMPM 120 (exceptions granted in special cases with permission of the instructor).
CMPM,164,Game Engines,5.0,Prerequisite(s): CMPM 163 or CSE 160. Concurrent enrollment in CMPM 164L is required.
CMPM,164L,Game Engines Lab,2.0,Prerequisite(s): CMPM 163 or CSE 160. Concurrent enrollment in CMPM 164 is required.
CMPM,169,Creative Coding,5.0,"Prerequisites: CMPM 35 or CMPM 120 or CMPM 163 or by permission of instructor. Enrollment is restricted to juniors, seniors, and graduate students."
CMPM,170,Game Design Studio I,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; CMPM 120, ARTG 120 and CSE 111. Enrollment is restricted to Computer science: computer game design majors."
CMPM,171,Game Design Studio,7.0,Prerequisites: CMPM 121 and CMPM 130 and CMPM 170 and CMPM 176.
CMPM,172,Game Production Studio,7.0,
CMPM,176,Game Systems,5.0,"""CMPM 80K"""
CMPM,177,Creative Strategies for Designing Interactive Media,5.0,Enrollment is restricted to juniors and seniors.
CMPM,178,Human-Centered Design Research,5.0,"Enrollment is restricted to juniors, seniors, and graduate students."
CMPM,179,Game Design Practicum,5.0,"[""AND"", ""CMPM 120"", ""CMPM 80K""]"
CMPM,194,Group Tutorial,5.0,
CMPM,194F,Group Tutorial,2.0,
CMPM,195,Senior Thesis Research,5.0,
CMPM,195F,Senior Thesis Research,2.0,
CMPM,198,Individual Study or Research,5.0,
CMPM,198F,Individual Study or Research,2.0,
CMPM,199,Tutorial,5.0,
CMPM,199F,Tutorial,2.0,
COWL,1,Academic Literacy and Ethos: Imagining Justice,5.0,Enrollment is restricted to first-year college members.
COWL,11F,Slug Ambassador,3.0,
COWL,1A,Introduction to University Life and Learning,1.0,Enrollment is restricted to entering first-year Cowell College students.
COWL,10,Becoming a Successful Student,5.0,
COWL,11A,Experiential Leadership Program Core Course: Tools for Leadership and Conflict Resolution,2.0,
COWL,11B,"ELP Core Course: Leadership From the Inside Out, Networking and Professionalism",2.0,
COWL,11C,ELP Core Course: Tone-Setting and Leading with Cultural/Emotional Intelligence,2.0,
COWL,11D,ELP Elective Course: Risk Management and Social Justice Through the Lens of Outdoor Leadership,2.0,
COWL,11E,Leadership Spring Break Intensive: Backpacking the Canyons of Southern Utah,2.0,
COWL,12,Public Speaking,5.0,Enrollment is restricted to college members during priority enrollment.
COWL,50,Library Skills for the Digital Age,2.0,"Enrollment is restricted to first-year and sophomore college members, or by permission of instructor."
COWL,52,Personal Finance and Investing,5.0,
COWL,64,Social Justice: Issues and Debates,2.0,Enrollment is restricted to first-year students.
COWL,65,"Meaning, Paradox, and Love",5.0,
COWL,70A,Introduction to Book Arts,5.0,
COWL,70B,Intermediate Book Arts,5.0,Prerequisite(s): COWL 70A or by permission of instructor.
COWL,70C,Advanced Book Arts,5.0,Prerequisite(s): COWL 70B or by instructor permission.
COWL,86,Leading Social Change,2.0,
COWL,89,Faculty Research Colloquium,2.0,Enrollment is restricted to participants in the first-year scholars program.
COWL,93,Field Study,5.0,
COWL,93F,Field Study,2.0,
COWL,94,Group Tutorial,5.0,
COWL,94F,Group Tutorial,2.0,
COWL,99,Tutorial,5.0,
COWL,99F,Tutorial,2.0,
COWL,111,Mock Trial Workshop,2.0,
COWL,118B,"Words & Music: Poetry, Musical Theater, Opera",5.0,
COWL,122,United Nations Contemporary Issues,2.0,
COWL,138A,The Place of Higher Education in a Democratic Society,5.0,"[""OR"", ""COWL 80A"", ""COWL 80B""]"
COWL,140,Designing Your Life,5.0,Enrollment is restricted to juniors and seniors.
